code,n_units,units_with_any_disagreement,units_with_exactly_one_disagreement,prop_with_any_disagreement,prop_with_exactly_one_disagreement,mean_n_disagree
Names of Actors__Visser_bin,20,1,1,0.05,0.05,0.05
Names of Actors__X_bin,20,1,1,0.05,0.05,0.05
People in the Image/Video__CDA__Hanneke_Steen_bin,20,1,1,0.05,0.05,0.05
People in the Image/Video__Celebrities_and_or_opinion_leaders__e_g___actors__sports_figures_athletes__musicians__economists__social_media_influencers__bin,20,1,1,0.05,0.05,0.05
People in the Image/Video__Other_persons_bin,20,1,1,0.05,0.05,0.05
People in the Image/Video__Other_politicians_from_Dutch_parties___independent_politicians_bin,20,1,1,0.05,0.05,0.05
People in the Image/Video__PvdD__Esther_Ouwehand_bin,20,1,1,0.05,0.05,0.05
Target of Attack__CDA: Hanneke Steen_bin,20,1,1,0.05,0.05,0.05
Target of Attack__CDA_bin,20,1,1,0.05,0.05,0.05
"Target of Attack__Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF)_bin",20,1,1,0.05,0.05,0.05
Target of Attack__Ordinary people / average citizens / ordinary supporters_bin,20,1,1,0.05,0.05,0.05
Target of Attack__Other actors_bin,20,1,1,0.05,0.05,0.05
Target of Attack__PVV: Geert Wilders_bin,20,1,1,0.05,0.05,0.05
Target of Attack__PVV_bin,20,1,1,0.05,0.05,0.05
Target of Attack__PvdD: Esther Ouwehand_bin,20,1,1,0.05,0.05,0.05
Target of Attack__PvdD_bin,20,1,1,0.05,0.05,0.05
Theme of the Image/Video__Fantasy / futuristic scenarios or depictions of imagined or speculative realities (utopian or dystopian future Netherlands)_bin,20,1,1,0.05,0.05,0.05
Theme of the Image/Video__Nostalgic / historical Dutch imagery (references to glorified past or national symbols)_bin,20,1,1,0.05,0.05,0.05
Topics__other_political_topic_bin,20,1,1,0.05,0.05,0.05
"Actors__(Representatives of) interest groups, NGOs_bin",20,0,0,0,0,0
Actors__: _bin,20,0,0,0,0,0
Actors__BBB_bin,20,0,0,0,0,0
Actors__Companies / business leaders_bin,20,0,0,0,0,0
Actors__Denk_bin,20,0,0,0,0,0
"Actors__Foreign politicians or parties and/or foreign governments, foreign parliaments_bin",20,0,0,0,0,0
Actors__Gevestigde partijen_bin,20,0,0,0,0,0
"Actors__Governments, ministries, parliaments and courts of the provinces_bin",20,0,0,0,0,0
Actors__JA21_bin,20,0,0,0,0,0
Actors__NA: NA_bin,20,0,0,0,0,0
Actors__NSC_bin,20,0,0,0,0,0
Actors__News media and their journalists / representatives_bin,20,0,0,0,0,0
Actors__Other parties from the Netherlands_bin,20,0,0,0,0,0
Actors__Other politicians from Dutch parties_bin,20,0,0,0,0,0
Actors__Partijkartel_bin,20,0,0,0,0,0
Actors__SGP_bin,20,0,0,0,0,0
Actors__Volt_bin,20,0,0,0,0,0
Names of Actors__NA_bin,20,0,0,0,0,0
People in the Image/Video__BBB__Caroline_van_der_Plas_bin,20,0,0,0,0,0
People in the Image/Video__BBB__Eddie_van_Marum_bin,20,0,0,0,0,0
People in the Image/Video__BBB__Femke_Wiersma_bin,20,0,0,0,0,0
People in the Image/Video__BBB__Gijs_Tuinman_bin,20,0,0,0,0,0
People in the Image/Video__BBB__Jean_Rummenie_bin,20,0,0,0,0,0
People in the Image/Video__BBB__Mona_Keijzer_bin,20,0,0,0,0,0
People in the Image/Video__CDA__Henri_Bontenbal_bin,20,0,0,0,0,0
People in the Image/Video__CU__Mirjam_Bikker_bin,20,0,0,0,0,0
People in the Image/Video__CU__Pieter_Grinwis_bin,20,0,0,0,0,0
People in the Image/Video__D66__Hans_Vijlbrief_bin,20,0,0,0,0,0
People in the Image/Video__D66__Jan_Paternotte_bin,20,0,0,0,0,0
People in the Image/Video__D66__Paul_van_Meenen_bin,20,0,0,0,0,0
People in the Image/Video__Denk__Stephan_van_Baarle_bin,20,0,0,0,0,0
People in the Image/Video__Denk__Tunahan_Kuzu_bin,20,0,0,0,0,0
People in the Image/Video__Entrepreneurs___business_leaders__e_g___from_VW__Porsche__Daimler__Amazon__Google__Facebook__bin,20,0,0,0,0,0
People in the Image/Video__Foreign_politicians__ALL_EXCEPT_from_EU__UN__NATO__bin,20,0,0,0,0,0
People in the Image/Video__FvD__Gideon_van_Meijeren_bin,20,0,0,0,0,0
People in the Image/Video__FvD__Thierry_Baudet_bin,20,0,0,0,0,0
People in the Image/Video__GL_PvdA__Esmah_Lahlah_bin,20,0,0,0,0,0
People in the Image/Video__GL_PvdA__Femke_Halsema_bin,20,0,0,0,0,0
People in the Image/Video__GL_PvdA__Jesse_Klaver_bin,20,0,0,0,0,0
People in the Image/Video__GL_PvdA__Marjolein_Moorman_bin,20,0,0,0,0,0
People in the Image/Video__GL_PvdA__Mei_Li_Vos_bin,20,0,0,0,0,0
People in the Image/Video__JA21__Annabel_Nanninga_bin,20,0,0,0,0,0
People in the Image/Video__JA21__Ingrid_Coenradie_bin,20,0,0,0,0,0
People in the Image/Video__JA21__Joost_Eerdmans_bin,20,0,0,0,0,0
People in the Image/Video__Journalists__representatives_of_news_media__general__media_types__individual_media_outlets__bin,20,0,0,0,0,0
People in the Image/Video__NSC__Caspar_Veldkamp_bin,20,0,0,0,0,0
People in the Image/Video__NSC__Dani_lle_Jansen_bin,20,0,0,0,0,0
People in the Image/Video__NSC__Eddy_van_Hijum_bin,20,0,0,0,0,0
People in the Image/Video__NSC__Eppo_Bruins_bin,20,0,0,0,0,0
People in the Image/Video__NSC__Judith_Uitermark_bin,20,0,0,0,0,0
People in the Image/Video__NSC__Nicolien_van_Vroonhoven_bin,20,0,0,0,0,0
People in the Image/Video__NSC__Teun_Struycken_bin,20,0,0,0,0,0
People in the Image/Video__NSC__Tjebbe_van_Oostenbruggen_bin,20,0,0,0,0,0
People in the Image/Video__Other_BBB_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_CDA_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_CU_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_D66_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_Denk_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_FVD_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_GL_PvdA_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_JA21_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_NSC_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_PVV_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_PvdD_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_SGP_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_SP_politicians_bin,20,0,0,0,0,0
People in the Image/Video__Other_Volt_politicians_bin,20,0,0,0,0,0
People in the Image/Video__PVV__Barry_Madlener_bin,20,0,0,0,0,0
People in the Image/Video__PVV__Chris_Jansen_bin,20,0,0,0,0,0
People in the Image/Video__PVV__Dirk_Beljaarts_bin,20,0,0,0,0,0
People in the Image/Video__PVV__Fleur_Agema_bin,20,0,0,0,0,0
People in the Image/Video__PVV__Marjolein_Faber_bin,20,0,0,0,0,0
People in the Image/Video__PVV__Martin_Bosma_bin,20,0,0,0,0,0
People in the Image/Video__PVV__Reinette_Klever_bin,20,0,0,0,0,0
People in the Image/Video__PVV__Vicky_Maeijer_bin,20,0,0,0,0,0
People in the Image/Video__PVV__Zsolt_Szab__bin,20,0,0,0,0,0
People in the Image/Video__PvdD__Ines_Kosti__bin,20,0,0,0,0,0
People in the Image/Video__Representatives_of_interest_groups___NGOs__e_g___Greenpeace__Amnesty_International__Doctors_Without_Borders__Reporters_Without_Borders__trade_unions__employers__associations__lobbyists__bin,20,0,0,0,0,0
People in the Image/Video__SGP__Chris_Stoffer_bin,20,0,0,0,0,0
People in the Image/Video__SP__Jimmy_Dijk_bin,20,0,0,0,0,0
People in the Image/Video__VVD__David_van_Weel_bin,20,0,0,0,0,0
People in the Image/Video__VVD__Dilan_Ye_ilg_z_bin,20,0,0,0,0,0
People in the Image/Video__VVD__Eelco_Heinen_bin,20,0,0,0,0,0
People in the Image/Video__VVD__Jurgen_Nobel_bin,20,0,0,0,0,0
People in the Image/Video__VVD__Mari_lle_Paul_bin,20,0,0,0,0,0
People in the Image/Video__VVD__Ruben_Brekelmans_bin,20,0,0,0,0,0
People in the Image/Video__VVD__Sophie_Hermans_bin,20,0,0,0,0,0
People in the Image/Video__VVD__Vincent_Karremans_bin,20,0,0,0,0,0
People in the Image/Video__Volt__Laurens_Dassen_bin,20,0,0,0,0,0
People in the Image/Video__Volt__Marieke_Koekkoek_bin,20,0,0,0,0,0
"Target of Acclaim__(Representatives of) interest groups, NGOs_bin",20,0,0,0,0,0
Target of Acclaim__(Representatives of) non-political institutions_bin,20,0,0,0,0,0
Target of Acclaim__(Representatives of) social movements_bin,20,0,0,0,0,0
Target of Acclaim__: _bin,20,0,0,0,0,0
Target of Acclaim__BBB_bin,20,0,0,0,0,0
Target of Acclaim__CDA_bin,20,0,0,0,0,0
Target of Acclaim__CU_bin,20,0,0,0,0,0
Target of Acclaim__Celebrities and/or opinion leaders_bin,20,0,0,0,0,0
Target of Acclaim__Companies / business leaders_bin,20,0,0,0,0,0
Target of Acclaim__D66_bin,20,0,0,0,0,0
Target of Acclaim__Denk_bin,20,0,0,0,0,0
"Target of Acclaim__Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF)_bin",20,0,0,0,0,0
"Target of Acclaim__Europe/EU/NATO, EU/NATO institutions and bodies & their representatives_bin",20,0,0,0,0,0
"Target of Acclaim__Foreign politicians or parties and/or foreign governments, foreign parliaments_bin",20,0,0,0,0,0
Target of Acclaim__FvD_bin,20,0,0,0,0,0
Target of Acclaim__GL-PvdA_bin,20,0,0,0,0,0
"Target of Acclaim__Governments, ministries, parliaments and courts of the provinces_bin",20,0,0,0,0,0
"Target of Acclaim__Illegal actors, criminals, offenders, terrorists, extremists / extremist groups_bin",20,0,0,0,0,0
Target of Acclaim__JA21_bin,20,0,0,0,0,0
Target of Acclaim__NA: NA_bin,20,0,0,0,0,0
Target of Acclaim__NSC_bin,20,0,0,0,0,0
Target of Acclaim__News media and their journalists / representatives_bin,20,0,0,0,0,0
Target of Acclaim__No actor praised_bin,20,0,0,0,0,0
Target of Acclaim__Ordinary people / average citizens / ordinary supporters_bin,20,0,0,0,0,0
Target of Acclaim__Other actors_bin,20,0,0,0,0,0
Target of Acclaim__Other politicians from Dutch parties_bin,20,0,0,0,0,0
Target of Acclaim__PvdD_bin,20,0,0,0,0,0
Target of Acclaim__SGP_bin,20,0,0,0,0,0
Target of Acclaim__SP_bin,20,0,0,0,0,0
Target of Acclaim__VVD_bin,20,0,0,0,0,0
Target of Acclaim__Volt_bin,20,0,0,0,0,0
"Target of Attack__(Representatives of) interest groups, NGOs_bin",20,0,0,0,0,0
Target of Attack__(Representatives of) non-political institutions_bin,20,0,0,0,0,0
Target of Attack__(Representatives of) social movements_bin,20,0,0,0,0,0
Target of Attack__: _bin,20,0,0,0,0,0
Target of Attack__BBB_bin,20,0,0,0,0,0
Target of Attack__CU_bin,20,0,0,0,0,0
Target of Attack__Celebrities and/or opinion leaders_bin,20,0,0,0,0,0
Target of Attack__Companies / business leaders_bin,20,0,0,0,0,0
Target of Attack__D66: Rob Jetten_bin,20,0,0,0,0,0
Target of Attack__D66_bin,20,0,0,0,0,0
Target of Attack__Denk_bin,20,0,0,0,0,0
"Target of Attack__Foreign politicians or parties and/or foreign governments, foreign parliaments_bin",20,0,0,0,0,0
Target of Attack__FvD_bin,20,0,0,0,0,0
"Target of Attack__Governments, ministries, parliaments and courts of the provinces_bin",20,0,0,0,0,0
Target of Attack__JA21_bin,20,0,0,0,0,0
Target of Attack__NA: NA_bin,20,0,0,0,0,0
Target of Attack__NSC_bin,20,0,0,0,0,0
Target of Attack__News media and their journalists / representatives_bin,20,0,0,0,0,0
Target of Attack__No actor attacked_bin,20,0,0,0,0,0
Target of Attack__Other parties from the Netherlands_bin,20,0,0,0,0,0
Target of Attack__Other politicians from Dutch parties_bin,20,0,0,0,0,0
Target of Attack__SGP_bin,20,0,0,0,0,0
Target of Attack__SP_bin,20,0,0,0,0,0
Target of Attack__VVD_bin,20,0,0,0,0,0
Target of Attack__Volt_bin,20,0,0,0,0,0
Theme of the Image/Video__: _bin,20,0,0,0,0,0
Theme of the Image/Video__Everyday politics_bin,20,0,0,0,0,0
Theme of the Image/Video__Individual voter contact_bin,20,0,0,0,0,0
Theme of the Image/Video__Media work (incl. TV debate)_bin,20,0,0,0,0,0
Theme of the Image/Video__NA: NA_bin,20,0,0,0,0,0
Theme of the Image/Video__Private background story_bin,20,0,0,0,0,0
Topics__civil_rights_including_gender_politics_lgbtq_policies_bin,20,0,0,0,0,0
Topics__constitution_of_the_political_system_e_g_independence_of_the_judiciary_rule_of_law_parliamentary_representation_of_the_will_of_the_people_bin,20,0,0,0,0,0
Topics__digital_and_infrastructure_bin,20,0,0,0,0,0
Type of Acclaim__: _bin,20,0,0,0,0,0
Type of Acclaim__NA: NA_bin,20,0,0,0,0,0
Type of Acclaim__Other form of recognition/praise_bin,20,0,0,0,0,0
Type of Attack__: _bin,20,0,0,0,0,0
Type of Attack__NA: NA_bin,20,0,0,0,0,0
